APP_NAME,funsafe_math_optimizations,fno_guess_branch_probability,fno_ivopts,fno_tree_loop_optimize,fno_inline_functions,funroll_all_loops,o2,execution_time_1,execution_time_2,execution_time_3,execution_time_4,execution_time_5,code_size
automotive_bitcount,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,X,1525.69,3018.85,4457.11,6308.22,7649.61,461574
automotive_bitcount,X,-fno-guess-branch-probability,X,X,-fno-inline-functions,-funroll-all-loops,-O2,1894.53,3453.15,4886.69,5898.46,8519.51,461574
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,X,1784.93,3227.77,4951.76,6126.34,7793.24,457478
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,X,-O2,1770.07,3203.01,4736.61,6099.93,7785.65,457478
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1929.33,3069.93,4380.69,6431.09,7710.63,461574
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1693.55,2982.37,4458.55,6041.95,7683.68,461606
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1770.32,3239.03,4670.05,6673.73,7569.94,457478
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1654.91,3161.52,4651.33,6104.53,7729.48,457478
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,2086.02,3461.64,4722.85,6338.37,7469.62,461606
automotive_bitcount,X,-fno-guess-branch-probability,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1771.16,3357.67,4439.76,5911.74,7649.54,461606
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,X,X,X,1658.85,3246.18,4769.04,6792.29,8024.73,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,X,X,-O2,1994.87,3194.99,5371.99,6161.13,7956.41,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,X,-funroll-all-loops,X,1645.81,3096.3,4505.44,6143.08,7576.38,461574
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,X,-funroll-all-loops,-O2,1649.51,3079.84,4657.97,6377.27,8240.38,461574
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,X,X,1671.61,3141.74,4767.87,6209.94,7654.61,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,X,-O2,1989.76,3362.68,4722.94,6205.63,7836.69,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,X,1711.21,3223.79,4567.98,6232.47,7666.69,461574
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,-O2,1849.55,3155.93,5653.92,6498.27,7866.3,461574
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,X,X,2052.45,3176.75,4664.36,6611.96,7643.76,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,X,-O2,1767.34,3503.56,4745.52,6297.83,7604.28,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1864.44,3060.46,4432.86,6882.46,7852.35,461574
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1955.14,3255.8,4794.37,6482.58,7427.42,461606
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1811.26,3331.75,4811.52,6395.99,8131.6,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1770.25,3100.1,4587.21,6167.12,7588.41,457478
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1944.61,3498.57,4697.21,5993.78,8033.64,461606
automotive_bitcount,X,-fno-guess-branch-probability,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1857.86,3206.29,4554.42,6775.73,7765.67,461606
automotive_bitcount,-funsafe-math-optimizations,X,X,X,X,X,X,1952.51,3469.54,4813.49,6484.64,8462.95,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,X,X,X,-O2,1854.23,3409.97,5153.38,6554.94,8404.57,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,X,X,-funroll-all-loops,X,2486.43,3178.03,4558.3,6411.88,8135.47,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,X,X,-funroll-all-loops,-O2,1671.86,3031.5,4574.14,6133.65,7810.13,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,X,-fno-inline-functions,X,X,1995.74,3713.4,4694.92,7036.76,7910.6,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,X,-fno-inline-functions,X,-O2,1868.25,3282.82,4912.6,6786.04,8139.31,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,X,-fno-inline-functions,-funroll-all-loops,X,1584.21,3897.71,4951.03,6152.26,8135.53,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,X,-fno-inline-functions,-funroll-all-loops,-O2,1730,3134.54,4675.19,6407.83,7742.61,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,X,X,X,1677.59,3407.82,4940.71,6673.85,8096.66,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,X,X,-O2,1638.11,3148.41,4732.92,6826.39,7968.18,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1584.9,3286.27,4925.54,7026.87,7966.73,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1711.61,3319.52,5347.09,6160.05,7703.68,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1716.87,3572.86,4884.77,6658.11,7967.81,457478
